date,symbol,trades,redeems,buys,sells,total_usdc,pnl_cashflow,markets,buy_usdc,sell_usdc,redeem_usdc
2026-05-01 00:00:00+00:00,BTC,35,6,20,15,223.33,-7.72,20,115.53,99.73,8.08
2026-05-01 00:00:00+00:00,DOGE,2,3,1,1,17.96,8.27,2,4.84,3.12,10.0
2026-05-01 00:00:00+00:00,ETH,42,6,23,19,276.8,-5.61,25,141.2,115.47,20.13
2026-05-01 00:00:00+00:00,SOL,8,4,4,4,63.34,-0.9,5,32.12,16.32,14.91
2026-05-01 00:00:00+00:00,XRP,13,2,8,5,79.54,-0.4,8,39.97,30.18,9.39
2026-05-02 00:00:00+00:00,BTC,8,2,5,3,38.65,0.94,5,18.86,18.42,1.37
2026-05-02 00:00:00+00:00,ETH,8,0,4,4,72.38,-1.99,3,37.18,35.2,0.0
2026-05-02 00:00:00+00:00,XRP,2,0,1,1,6.54,-0.41,1,3.48,3.07,0.0
2026-05-03 00:00:00+00:00,BTC,17,0,9,8,80.95,-9.46,9,45.21,35.74,0.0
2026-05-03 00:00:00+00:00,ETH,23,1,12,11,146.11,-6.06,12,76.09,59.14,10.89
2026-05-03 00:00:00+00:00,SOL,2,0,1,1,15.47,-0.6,1,8.04,7.43,0.0
2026-05-03 00:00:00+00:00,XRP,1,1,1,0,2.22,0.19,1,1.01,0.0,1.2
2026-05-04 00:00:00+00:00,BTC,30,3,13,17,148.11,-14.8,13,81.46,62.09,4.56
2026-05-04 00:00:00+00:00,ETH,39,1,17,22,194.22,-21.51,16,107.86,85.01,1.34
2026-05-04 00:00:00+00:00,SOL,5,1,3,2,27.17,-10.07,3,18.62,5.65,2.9
2026-05-04 00:00:00+00:00,XRP,10,2,5,5,27.32,-1.73,5,14.53,12.16,0.64
2026-05-06 00:00:00+00:00,XRP,3,0,2,1,18.67,-9.93,2,14.3,4.37,0.0
2026-05-07 00:00:00+00:00,XRP,4,0,2,2,25.9,2.62,2,11.64,14.26,0.0
2026-05-08 00:00:00+00:00,DOGE,6,0,2,4,27.4,-1.25,2,14.33,13.08,0.0
2026-05-09 00:00:00+00:00,DOGE,3,0,1,2,14.59,1.86,1,6.36,8.22,0.0
2026-05-10 00:00:00+00:00,DOGE,2,0,1,1,13.93,0.81,1,6.56,7.37,0.0
2026-05-10 00:00:00+00:00,XRP,10,0,4,6,41.08,-7.98,4,24.53,16.55,0.0
2026-05-11 00:00:00+00:00,XRP,4,0,2,2,25.87,2.85,2,11.51,14.36,0.0
2026-05-12 00:00:00+00:00,BTC,5,0,2,3,37.04,2.2,2,17.42,19.62,0.0
2026-05-12 00:00:00+00:00,XRP,4,0,2,2,14.71,-3.88,2,9.3,5.41,0.0
2026-05-13 00:00:00+00:00,BTC,35,6,19,16,186.82,-2.35,19,94.58,74.19,18.05
2026-05-13 00:00:00+00:00,ETH,50,16,32,18,172.84,-7.14,31,89.99,57.24,25.61
2026-05-13 00:00:00+00:00,SOL,10,5,7,3,33.0,0.98,7,16.01,6.14,10.84
2026-05-13 00:00:00+00:00,XRP,13,3,8,5,46.03,-1.51,8,23.77,13.06,9.2
2026-05-14 00:00:00+00:00,BTC,41,15,29,12,155.16,-4.65,29,79.91,39.72,35.54
2026-05-14 00:00:00+00:00,ETH,49,17,33,16,166.07,-8.71,33,87.39,48.66,30.02
2026-05-14 00:00:00+00:00,SOL,25,5,15,10,89.6,-7.85,15,48.73,29.68,11.19
2026-05-14 00:00:00+00:00,XRP,34,6,18,16,118.68,-5.51,18,62.09,49.26,7.32
2026-05-15 00:00:00+00:00,BTC,8,2,4,4,38.03,-2.65,5,20.34,15.94,1.75
2026-05-15 00:00:00+00:00,ETH,17,1,9,8,80.16,-2.79,9,41.48,35.7,2.99
2026-05-15 00:00:00+00:00,SOL,8,0,4,4,33.47,-2.28,4,17.87,15.59,0.0
2026-05-15 00:00:00+00:00,XRP,8,0,4,4,34.84,0.59,4,17.12,17.72,0.0
2026-05-16 00:00:00+00:00,BTC,6,0,3,3,36.88,0.8,3,18.04,18.84,0.0
2026-05-16 00:00:00+00:00,ETH,9,1,5,4,44.05,-1.63,5,22.84,16.62,4.59
2026-05-16 00:00:00+00:00,SOL,33,6,18,15,134.73,7.5,17,63.61,37.59,33.53
2026-05-16 00:00:00+00:00,XRP,7,7,4,3,28.9,4.34,4,12.28,6.49,10.13
