weekday,symbol,records,total_usdc,pnl_cashflow
Monday,BTC,33,148.11,-14.8
Monday,ETH,40,194.22,-21.51
Monday,SOL,6,27.17,-10.07
Monday,XRP,16,53.2,1.12
Tuesday,BTC,5,37.04,2.2
Tuesday,XRP,4,14.71,-3.88
Wednesday,BTC,41,186.82,-2.35
Wednesday,ETH,66,172.84,-7.14
Wednesday,SOL,15,33.0,0.98
Wednesday,XRP,19,64.71,-11.45
Thursday,BTC,56,155.16,-4.65
Thursday,ETH,66,166.07,-8.71
Thursday,SOL,30,89.6,-7.85
Thursday,XRP,44,144.58,-2.89
Friday,BTC,51,261.36,-10.37
Friday,DOGE,11,45.36,7.03
Friday,ETH,66,356.96,-8.4
Friday,SOL,20,96.81,-3.18
Friday,XRP,23,114.38,0.19
Saturday,BTC,16,75.53,1.74
Saturday,DOGE,3,14.59,1.86
Saturday,ETH,18,116.43,-3.62
Saturday,SOL,39,134.73,7.5
Saturday,XRP,16,35.45,3.93
Sunday,BTC,17,80.95,-9.46
Sunday,DOGE,2,13.93,0.81
Sunday,ETH,24,146.11,-6.06
Sunday,SOL,2,15.47,-0.6
Sunday,XRP,12,43.3,-7.79
