date,symbol,trades,redeems,buys,sells,total_usdc,pnl_cashflow,markets,buy_usdc,sell_usdc,redeem_usdc
2026-05-01 00:00:00+00:00,BTC,35,6,20,15,223.33,-7.72,20,115.53,99.73,8.08
2026-05-01 00:00:00+00:00,DOGE,2,3,1,1,17.96,8.27,2,4.84,3.12,10.0
2026-05-01 00:00:00+00:00,ETH,42,6,23,19,276.8,-5.61,25,141.2,115.47,20.13
2026-05-01 00:00:00+00:00,SOL,8,4,4,4,63.34,-0.9,5,32.12,16.32,14.91
2026-05-01 00:00:00+00:00,XRP,13,2,8,5,79.54,-0.4,8,39.97,30.18,9.39
2026-05-02 00:00:00+00:00,BTC,8,2,5,3,38.65,0.94,5,18.86,18.42,1.37
2026-05-02 00:00:00+00:00,ETH,8,0,4,4,72.38,-1.99,3,37.18,35.2,0.0
2026-05-02 00:00:00+00:00,XRP,2,0,1,1,6.54,-0.41,1,3.48,3.07,0.0
2026-05-03 00:00:00+00:00,BTC,17,0,9,8,80.95,-9.46,9,45.21,35.74,0.0
2026-05-03 00:00:00+00:00,ETH,23,1,12,11,146.11,-6.06,12,76.09,59.14,10.89
2026-05-03 00:00:00+00:00,SOL,2,0,1,1,15.47,-0.6,1,8.04,7.43,0.0
2026-05-03 00:00:00+00:00,XRP,1,1,1,0,2.22,0.19,1,1.01,0.0,1.2
2026-05-04 00:00:00+00:00,BTC,30,3,13,17,148.11,-14.8,13,81.46,62.09,4.56
2026-05-04 00:00:00+00:00,ETH,39,1,17,22,194.22,-21.51,16,107.86,85.01,1.34
2026-05-04 00:00:00+00:00,SOL,5,1,3,2,27.17,-10.07,3,18.62,5.65,2.9
2026-05-04 00:00:00+00:00,XRP,10,2,5,5,27.32,-1.73,5,14.53,12.16,0.64
2026-05-06 00:00:00+00:00,XRP,3,0,2,1,18.67,-9.93,2,14.3,4.37,0.0
